id,authors,title,categories,abstract,category_list,mean_similarity,std_similarity
802.3214,Daniel H. Wesley,oxidised cosmic acceleration,hep-th astro-ph gr-qc,"  we give detailed proofs of several new nogo theorems for constructing flat
fourdimensional accelerating universes from warped dimensional reduction
these new theorems improve upon previous ones by weakening the energy
conditions by including timedependent compactifications and by treating
accelerated expansion that is not precisely de sitter we show that de sitter
expansion violates the higherdimensional null energy condition nec if the
compactification manifold m is onedimensional if its intrinsic ricci scalar r
vanishes everywhere or if r and the warp function satisfy a simple limit
condition if expansion is not de sitter we establish threshold
equationofstate parameters w below which accelerated expansion must be
transient below the threshold w there are bounds on the number of efoldings
of expansion if m is onedimensional or r everywhere vanishing exceeding the
bound implies the nec is violated if r does not vanish everywhere on m
exceeding the bound implies the strong energy condition sec is violated
observationally the w thresholds indicate that experiments with finite
resolution in w can cleanly discriminate between different models which satisfy
or violate the relevant energy conditions
",astro-ph,0.013284763627327473,0.020993784676086112
808.4128,"O. Buchmueller, R. Cavanaugh, A. De Roeck, J.R. Ellis, H. Flaecher, S.
  Heinemeyer, G. Isidori, K.A. Olive, P. Paradisi, F.J. Ronga, G. Weiglein","predictions for supersymmetric particle masses in the cmssm using
  indirect experimental and cosmological constraints",hep-ph astro-ph gr-qc hep-ex,"  in view of the imminent start of the lhc experimental programme we use the
available indirect experimental and cosmological information to estimate the
likely range of parameters of the constrained minimal supersymmetric extension
of the standard model cmssm using a markovchain monte carlo mcmc
technique to sample the parameter space the 95 confidencelevel area in the
m0 m12 plane of the cmssm lies largely within the region that could be
explored with 1fb of integrated luminosity at 14 tev and much of the 68
confidencelevel area lies within the region that could be explored with 50pb
of integrated luminosity at 10 tev a samesign dilepton signal could well be
visible in most of the 68 confidencelevel area with 1fb of integrated
luminosity at 14 tev we discuss the sensitivities of the preferred ranges to
variations in the most relevant indirect experimental and cosmological
constraints and also to deviations from the universality of the
supersymmetrybreaking contributions to the masses of the higgs bosons
",astro-ph,0.010435085918902168,0.02080496603857222
808.2449,"T. M. Janssen (Utrecht), S. P. Miao (Utrecht), T. Prokopec (Utrecht)
  and R. P. Woodard (Florida)",infrared propagator corrections for constant deceleration,gr-qc astro-ph hep-th,"  we derive the propagator for a massless minimally coupled scalar on a
ddimensional spatially flat homogeneous and isotropic background with
arbitrary constant deceleration parameter our construction uses the operator
formalism by integrating the fourier mode sum we give special attention to
infrared corrections from the nonzero lower limit associated with working on
finite spatial sections these corrections eliminate infrared divergences that
would otherwise be incorrectly treated by dimensional regularization resulting
in offcoincidence divergences for those special values of the deceleration
parameter at which the infrared divergence is logarithmic as an application we
compute the expectation value of the scalar stressenergy tensor
",astro-ph,0.011434428513442013,0.02108899545172016
804.0373,"Fabian Schmidt, Alberto Vallinotto, Emiliano Sefusatti, Scott Dodelson",weak lensing effects on the galaxy threepoint correlation function,astro-ph,"  we study the corrections to the galaxy threepoint correlation function
3pcf induced by weak lensing magnification due to the matter distribution
along the line of sight we consistently derive all the correction terms
arising up to second order in perturbation theory and provide analytic
expressions as well as order of magnitude estimates for their relative
importance the magnification contributions depend on the geometry of the
projected triangle on the sky plane and scale with different powers of the
number count slope and redshift of the galaxy sample considered we evaluate
all terms numerically and show that depending on the triangle configuration as
well as the galaxy sample considered weak lensing can in general significantly
contribute to and alter the threepoint correlation function observed through
galaxy and quasar catalogs
",astro-ph,0.014044867509345034,0.020761932417089148
810.433,Gianluca Calcagni and Golam Mortuza Hossain,loop quantum cosmology and tensor perturbations in the early universe,gr-qc astro-ph hep-th,"  we study the tensor modes of linear metric perturbations within an effective
framework of loop quantum cosmology after a review of inversevolume and
holonomy corrections in the background equations of motion we solve the
linearized tensor modes equations and extract their spectrum ignoring holonomy
corrections the tensor spectrum is blue tilted in the nearplanckian
superinflationary regime and may be observationally disfavoured however in
this case background dynamics is highly nonperturbative hence the use of
standard perturbative techniques may not be very reliable on the other hand
in the quasiclassical regime the tensor index receives a small negative
quantum correction slightly enhancing the standard red tilt in slowroll
inflation we discuss possible interpretations of this correction which
depends on the choice of semiclassical state
",astro-ph,0.014660492673478192,0.023134007602946496
805.329,"Laura Covi, Marta Gomez-Reino, Christian Gross, Jan Louis, Gonzalo A.
  Palma, Claudio A. Scrucca",constraints on modular inflation in supergravity and string theory,hep-th astro-ph hep-ph,"  we perform a general algebraic analysis on the possibility of realising
slowroll inflation in the moduli sector of string models this problem turns
out to be very closely related to the characterisation of models admitting
metastable vacua with nonnegative cosmological constant in fact we show that
the condition for the existence of viable inflationary trajectories is a
deformation of the condition for the existence of metastable de sitter vacua
this condition depends on the ratio between the scale of inflation and the
gravitino mass and becomes stronger as this parameter grows after performing a
general study within arbitrary supergravity models we analyse the implications
of our results in several examples more concretely in the case of heterotic
and orientifold string compactifications on a calabiyau in the large volume
limit we show that there may exist fully viable models allowing both for
inflation and stabilisation additionally we show that subleading corrections
breaking the noscale property shared by these models always allow for
slowroll inflation but with an inflationary scale suppressed with respect to
the gravitino scale a scale of inflation larger than the gravitino scale can
also be achieved under more restrictive circumstances and only for certain
types of compactifications
",astro-ph,0.014524289825444223,0.02425727947909854
812.2207,Massimo Giovannini and Kerstin E. Kunze,cosmic polarimetry in magnetoactive plasmas,astro-ph gr-qc hep-ph hep-th,"  polarimetry of the cosmic microwave background cmb represents one of the
possible diagnostics aimed at testing largescale magnetism at the epoch of the
photon decoupling the propagation of electromagnetic disturbances in a
magnetized plasma leads naturally to a bmode polarization whose angular power
spectrum is hereby computed both analytically and numerically combined
analyses of all the publicly available data on the bmode polarization are
presented for the first time in the light of the magnetized lambdacdm
scenario novel constraints on preequality magnetism are also derived in view
of the current and expected sensitivities to the bmode polarization
",astro-ph,0.00857152542783354,0.018925554579301465
807.1914,Massimo Giovannini,"stochastic backgrounds of relic gravitons tlambdacdm paradigm and
  the stiff ages",astro-ph gr-qc hep-ph hep-th,"  absent any indirect tests on the thermal history of the universe prior to the
formation of light nuclear elements it is legitimate to investigate situations
where before nucleosyntheis the sound speed of the plasma was larger than
csqrt3 at most equalling the speed of light c in this plausible
extension of the current cosmological paradigm hereby dubbed
tensorlambdacdm ie tlambdacdm scenario highfrequency gravitons are
copiously produced without conflicting with the bounds on the tensor to scalar
ratio stemming from the combined analysis of the three standard cosmological
data sets ie cosmic microwave background anisotropies largescale structure
and supenovae the spectral energy density of the relic gravitons in the
tlambdacdm scenario can be potentially observable by wideband
interferometers in their advanced version operating in a frequency window
which ranges between few hz and few khz
",astro-ph,0.011193959415723235,0.020234625051101802
807.3058,"Miao Li, Yi Wang",consistency relations for nongaussianity,hep-th astro-ph gr-qc,"  we investigate consistency relations for nongaussianity we provide a
modelindependent dynamical proof for the consistency relation of 3point
correlation functions from the hamiltonian and field redefinition this
relation can be applied to single field inflation multifield inflation and
the curvaton scenario this relation can also be generalized to npoint
correlation functions up to arbitrary order in perturbation theory and with
arbitrary number of loops
",astro-ph,0.013702736328707341,0.024122319807935715
710.5073,Nan Li and Dominik J. Schwarz,scale dependence of cosmological backreaction,astro-ph gr-qc hep-ph hep-th,"  due to the noncommutation of spatial averaging and temporal evolution
inhomogeneities and anisotropies cosmic structures influence the evolution of
the averaged universe via the cosmological backreaction mechanism we study the
backreaction effect as a function of averaging scale in a perturbative approach
up to higher orders we calculate the hierarchy of the critical scales at
which 10 effects show up from averaging at different orders the dominant
contribution comes from the averaged spatial curvature observable up to scales
of 200 mpc the cosmic variance of the local hubble rate is 10 5 for
spherical regions of radius 40 60 mpc we compare our result to the one from
newtonian cosmology and hubble space telescope key project data
",astro-ph,0.012670035491578713,0.02068452909973006
hep-th/0610079,Don N. Page,is our universe likely to decay within 20 billion years,hep-th astro-ph gr-qc,"  observations that we are highly unlikely to be vacuum fluctuations suggest
that our universe is decaying at a rate faster than the asymptotic volume
growth rate in order that there not be too many observers produced by vacuum
fluctuations to make our observations highly atypical an asymptotic linear
efolding time of roughly 16 gyr deduced from current measurements of cosmic
acceleration would then imply that our universe is more likely than not to
decay within a time that is less than 19 gyr in the future
",astro-ph,0.00999750011549664,0.02107890215774965
811.3744,"Gianfranco Bertone, Marco Cirelli, Alessandro Strumia, Marco Taoso",gammaray and radio tests of the ee excess from dm annihilations,astro-ph hep-ph,"  pamela and atic recently reported an excess in ee cosmic rays we show that
if it is due to dark matter annihilations the associated gammaray flux and
the synchrotron emission produced by ee in the galactic magnetic field
violate hess and radio observations of the galactic center and hess
observations of dwarf spheroidals unless the dm density profile is
significantly less steep than the benchmark nfw and einasto profiles
",astro-ph,0.008081580332687627,0.023844825868468686
812.1792,"P. J. K\""apyl\""a (University of Helsinki), M. J. Korpi (University of
  Helsinki), A. Brandenburg (Nordita)",alpha effect and turbulent diffusion from convection,astro-ph,"  abridged aims to study turbulent transport coefficients that describe the
evolution of largescale magnetic fields in turbulent convection methods we
use the test field method together with 3d numerical simulations of turbulent
convection with shear and rotation to compute turbulent transport coefficients
describing the evolution of largescale magnetic fields in meanfield theory in
the kinematic regime 1d meanfield models are used with the derived turbulent
transport coefficients to compare with direct simulations results the
alphaeffect increases monotonically as rotation increases turbulent
diffusivity etat is proportional to the square of the turbulent vertical
velocity whereas etat decreases approximately inversely proportional to the
wavenumber of the field the alphaeffect and turbulent pumping show a more
complex behaviour in the presence of shear and no rotation a small
alphaeffect is induced which does not seem to show any consistent trend as a
function of shear if the shear is large enough this small alpha is able to
excite a dynamo in the meanfield model the coefficient responsible for
driving the shearcurrent effect shows several sign changes as a function of
depth but is also able to contribute to dynamo action in the meanfield model
the growth rates in these cases are well below those in direct simulations
suggesting that an incoherent alphashear dynamo may also act in them if both
rotation and shear are present the alphaeffect is more pronounced the
combination of the shearcurrent and omega x jeffects is also stronger than in
the case of shear only but subdominant to the alphashear dynamo the results
of direct simulations are consistent with meanfield models where all of these
effects are taken into account without the need to invoke incoherent effects
",astro-ph,0.016760851526134664,0.031475995925945965
802.3245,"Pasquale D. Serpico, Gabrijela Zaharijas","optimal angular window for observing dark matter annihilation from the
  galactic center region the case of gammaray lines",astro-ph,"  although the emission of radiation from dark matter annihilation is expected
to be maximized at the galactic center geometric factors and the presence of
pointlike and diffuse backgrounds make the choice of the angular window size
to optimize the chance of a signal detection a nontrivial problem contrarily
to what is often assumed we find that the best strategy is to focus on a
window size around the galactic center of  1 deg to  30 deg where the
optimal size depends on the angular distribution of the signal and the
backgrounds although our conclusions are general we illustrate this point in
the particular case of annihilation into two monochromatic photons in the
phenomenologically most interesting range of energy 45 gev  e  80 gev which
is of great interest for the glast satellite we find for example that dark
matter models with sufficiently strong line annihilation signals like the
inert doublet model may be detectable without or with very moderate boost
factors
",astro-ph,0.014231519289012043,0.02456857254485021
808.3137,"Sergio Pastor, Teguayco Pinto, Georg Raffelt",relic density of neutrinos with primordial asymmetries,astro-ph hep-ph,"  we study flavor oscillations in the early universe assuming primordial
neutrinoantineutrino asymmetries including collisions and pair processes in
the kinetic equations we not only estimate the degree of flavor equilibration
but for the first time also kinetic equilibration among neutrinos and with the
ambient plasma typically the restrictive bbn bound on the nueantinue
asymmetry indeed applies to all flavors as claimed in the previous literature
but finetuned initial asymmetries always allow for a large surviving neutrino
excess radiation that may show up in precision cosmological data
",astro-ph,0.0105729779842576,0.02079798654173646
